634005,"Hugo","Weaving","1960-04-04"
634006,"Viggo","Mortensen","1958-10-20"
634007,"Ian","McKellen","1939-05-25"
634008,"Elijah","Wood","1981-01-28"
634011,"Zhang","Ziyi","1979-02-09"
658001,"none","Eminem","1972-11-10"
658003,"Ewan","McGregor","1971-03-31"
658007,"Thora","Birch","1982-03-11"
658008,"Kate","Winslet","1975-11-05"
658010,"Sean","Penn","1960-08-17"
658011,"Hugh","Grant","1960-09-09"
658012,"Joesph","Fiennes","1970-05-27"
658013,"Mena","Suvari","1979-02-09"
658014,"Sally","Field","1946-11-06"
658015,"Martine","McCutcheor","1976-05-14"
658016,"Jennifer","Connelly","1970-12-12"
658017,"Ed","Harris","1950-11-28"
658018,"Emmy","Rossum","1986-09-12"
658019,"Tim","Robbins","1958-10-16"
671103,"Mel","Gibson","1956-01-03"
671105,"Jim","Carrey","1962-01-17"
671107,"Casper","Van Dien","1968-12-18"
671109,"Brendan","Fraser","1968-12-03"
683001,"Al","Pacino","1940-04-25"
683002,"Marlon","Brando","1924-03-04"
683003,"Giovanni","Ribisi","1974-03-31"
683004,"Sylvester","Stallone","1946-07-06"
683007,"Paul","Walker","1973-09-12"
683008,"Vin","Diesel","1967-07-18"
683010,"Josh","Hartnett","1978-07-21"
683013,"Michelle","Pfeiffer","1958-04-29"
683014,"Steven","Bauer","1956-12-02"
683016,"Eva","Mendes","1978-03-05"
683018,"Gina","Gershon","1962-06-10"
683019,"Estella","Warren","1978-12-23"
683020,"Jordana","Brewster","1980-04-26"
683021,"Jamie","Foxx","1967-12-13"
693100,"Leonardo","DiCaprio","1974-11-11"
693101,"Jennifer","Garner","1972-05-17"
693103,"Brad","Pitt","1973-12-18"
693104,"Sean","Astin","1971-02-25"
693105,"Cate","Blanchett","1969-05-14"
693106,"Kate","Beckinsale","1973-07-26"
693108,"Dustin","Hoffman","1937-08-08"
693109,"Catherine","Zeta-Jones","1969-09-25"
693111,"Ashanti","Douglas","1980-10-13"
693112,"Laurence","Fishburne","1961-07-30"
693113,"Ethan","Hawke","1970-11-06"
693115,"Gary","Sinise","1955-03-17"
693116,"Will","Smith","1968-09-25"
693117,"Bruce","Willis","1995-03-19"
693118,"Robert","DeNiro","1943-08-17"
693119,"Alec","Baldwin","1958-04-03"
755001,"Zach","Braff","1975-04-06"
755003,"Harrison","Ford","1942-07-13"
755005,"Jet","Li","1963-04-26"
755006,"Michael","Moore","1954-04-23"
755007,"Mike","Myers","1963-05-25"
755008,"Craig","Nelson","1944-04-04"
755010,"Keanu","Reeves","1964-09-02"
755011,"Arnold","Schwarzeneggar","1947-07-30"
755012,"Audrey","Tautou","1978-08-09"
755013,"Marlon","Wayans","1972-07-23"
755014,"Ewan","MacGregor","1971-03-31"
755015,"Natalie","Portman","1981-06-09"
755016,"Cameron","Diaz","1972-08-30"
755017,"Eddie","Murphy","1961-04-03"
764001,"Joaquin","Phoenix","1974-10-28"
764002,"Diane","Kruger","1976-07-15"
764003,"Nicholas","Cage","1964-01-07"
764005,"Holly","Hunter","1958-03-20"
764006,"Robert","De Niro","1943-08-17"
764007,"Nona","Gaye","1974-09-04"
764008,"Ron","Perlman","1950-04-13"
764009,"Adam","Sandler","1966-09-09"
764011,"Bryce","Howard","1981-03-02"
764012,"Adrien","Brody","1973-04-14"
764013,"William","Hurt","1950-03-20"
764014,"Sigourney","Weaver","1949-10-08"
764015,"Brendan","Gleeson","1955-11-09"
764016,"Micheal","Pitt","1981-04-10"
764017,"John","Hurt","1940-01-22"
764018,"Selma","Blair","1972-06-23"
764019,"Jeffery","Tambor","1944-07-08"
764020,"David","Pierce","1959-04-03"
788001,"Meg","Ryan","1961-11-19"
788002,"Robin","Williams","1952-07-21"
788003,"Russell","Crowe","1964-04-07"
788006,"Matt","Damon","1970-10-08"
788007,"Angelina","Jolie","1975-06-04"
788008,"Ashley","Judd","1968-04-19"
788009,"Tobey","Maguire","1975-06-27"
788010,"Tom","Hanks","1956-07-09"
788011,"Kate","Hudson","1979-04-19"
855100,"Jackie","Chan","1954-04-07"
855101,"Chris","Tucker","1872-08-13"
855102,"Bruce","Willis","1955-03-19"
855103,"Jennifer","Lopez","1970-07-24"
855104,"Richard","Gere","1949-08-31"
855105,"Julia","Roberts","1967-10-28"
855106,"Brad","Pitt","1963-12-18"
855107,"Catherine","Zeta-Jones","1969-09-21"
855108,"George","Clooney","1961-05-06"
855109,"Johnny","Depp","1963-06-09"
855110,"Kate","Winslet","1975-10-05"
855111,"Christina","Ricci","1980-02-12"
855112,"Jim","Carrery","1962-01-17"
872001,"Halle","Barry","1966-08-14"
872002,"Ice","Cube","1969-06-15"
872003,"Ben","Stiller","1965-11-30"
872004,"Vince","Vaughn","1970-03-28"
872005,"Snoop","Dogg","1971-10-20"
872006,"Denzel","Washington","1954-12-28"
872007,"Christopher","Walken","1943-03-31"
872008,"Nicole","Kidman","1967-06-20"
872009,"Tom","Cruise","1962-07-03"
872010,"Jamie","Fox","1967-12-13"
872011,"Kerry","Washington","1977-01-05"
907000,"Samuel","Jackson","1948-12-21"
907001,"Tony","Shalhoub","1953-10-09"
907002,"Steve","Coogan","1965-10-14"
907003,"Keir","Dullea","1936-05-30"
907004,"Malcolm","McDowell","1943-06-13"
907005,"Kurt","Russell","1951-03-17"
907006,"Hilary","Swank","1974-07-30"
907007,"Christian","Bale","1974-01-30"
907008,"Timothy","Spall","1957-02-27"
907009,"Tara","Subkoff","1973-01-01"
